Segment type,Social Media,Count
or private school? Private,Facebook,61
or private school? No school,Facebook,4
or private school? Public,Facebook,117
All Facebook priv,Total Facebook,182
or private school? Private,Instagram,105
or private school? No school,Instagram,10
or private school? Public,Instagram,250
All Instagram priv,Total Intagram,365
or private school? Private,None,168
or private school? No school,None,16
or private school? Public,None,304
All None priv,Total None,488
or private school? Private,Snapchat,8
or private school? No school,Snapchat,1
or private school? Public,Snapchat,27
All Snapchat priv,Total Snapchat,36
or private school? Private,Twitter,20
or private school? No school,Twitter,1
or private school? Public,Twitter,69
All Twitter priv,Total Twitter,90
"have a job? Nope,  and not looking for one",Facebook,198
"have a job? Yes, full-time",Facebook,23
"have a job? No, but I'm searching for one",Facebook,98
"have a job? Yes, part-time",Facebook,147
All Facebook job,Total Facebook,466
"have a job? Nope,  and not looking for one",Instagram,299
"have a job? Yes, full-time",Instagram,37
"have a job? No, but I'm searching for one",Instagram,168
"have a job? Yes, part-time",Instagram,239
All instagram jon,Total Instagram,743
"have a job? Nope,  and not looking for one",None,325
"have a job? Yes, full-time",None,51
"have a job? No, but I'm searching for one",None,174
"have a job? Yes, part-time",None,274
All none job,Total None,824
"have a job? Nope,  and not looking for one",Snapchat,37
"have a job? Yes, full-time",Snapchat,6
"have a job? No, but I'm searching for one",Snapchat,13
"have a job? Yes, part-time",Snapchat,12
All snapchat job,Total Snapchat,68
"have a job? Nope,  and not looking for one",Twitter,68
"have a job? Yes, full-time",Twitter,6
"have a job? No, but I'm searching for one",Twitter,25
"have a job? Yes, part-time",Twitter,56
All twitter job,Total Twitter,155
student loan debt? No,Facebook,326
student loan debt? Yes,Facebook,148
All facebook debt,Total Facebook,474
student loan debt? No,Instagram,504
student loan debt? Yes,Instagram,258
All instagran debt,Total Instagram,762
student loan debt? No,None,552
student loan debt? Yes,None,279
All None debt,Total None,831
student loan debt? No,Snapchat,47
student loan debt? Yes,Snapchat,21
All snapchat debt,Total Snapchat,68
student loan debt? No,Twitter,99
student loan debt? Yes,Twitter,60
All twitter debt,Total Twitter,159
your parents make? Upper class (> $240K),Facebook,70
your parents make? Upper-middle class (~$160K),Facebook,71
your parents make? Middle / lower-middle class (~$90K),Facebook,41
your parents make? Poor (< ~$50K) ,Facebook,15
All facebook parents,Total Facebook,197
your parents make? Upper class (> $240K),Instagram,83
your parents make? Upper-middle class (~$160K),Instagram,149
your parents make? Middle / lower-middle class (~$90K),Instagram,111
your parents make? Poor (< ~$50K) ,Instagram,45
All instagram parents,Total Instagram,388
your parents make? Upper class (> $240K),None,130
your parents make? Upper-middle class (~$160K),None,178
your parents make? Middle / lower-middle class (~$90K),None,144
your parents make? Poor (< ~$50K) ,None,57
All none parents,Total None,509
your parents make? Upper class (> $240K),Snapchat,8
your parents make? Upper-middle class (~$160K),Snapchat,11
your parents make? Middle / lower-middle class (~$90K),Snapchat,12
your parents make? Poor (< ~$50K) ,Snapchat,7
All snapchat parents,Total Snapchat,38
your parents make? Upper class (> $240K),Twitter,13
your parents make? Upper-middle class (~$160K),Twitter,42
your parents make? Middle / lower-middle class (~$90K),Twitter,32
your parents make? Poor (< ~$50K),Twitter,10
All twitter parents,Total Twitter,97
I'm in? Other,Facebook,3
I'm in? Grad School,Facebook,7
I'm in? Post-grad,Facebook,15
I'm in? College,Facebook,499
I'm in? High School,Facebook,29
All facebook stud,Total Facebook,553
I'm in? Other,Instagram,6
I'm in? Grad School,Instagram,13
I'm in? Post-grad,Instagram,35
I'm in? College,Instagram,781
I'm in? High School,Instagram,96
All instagram stud,Total Instagram,931
I'm in? Other,None,8
I'm in? Grad School,None,14
I'm in? Post-grad,None,43
I'm in? College,None,820
I'm in? High School,None,106
All none stud,Total None,991
I'm in? Other,Snapchat,2
I'm in? Grad School,Snapchat,4
I'm in? Post-grad,Snapchat,1
I'm in? College,Snapchat,74
I'm in? High School,Snapchat,14
All snapchat stud,Total Snapchat,95
I'm in? Other,Twitter,0
I'm in? Grad School,Twitter,3
I'm in? Post-grad,Twitter,1
I'm in? College,Twitter,151
I'm in? High School,Twitter,32
All twitter stud,Total Twitter,187
