Segment type;Social Media;Count
student loan debt? No;Facebook;326
student loan debt? Yes;Facebook;148
All facebook debt;Total Facebook;474
student loan debt? No;Instagram;504
student loan debt? Yes;Instagram;258
All instagran debt;Total Instagram;762
student loan debt? No;None;552
student loan debt? Yes;None;279
All None debt;Total None;831
student loan debt? No;Snapchat;47
student loan debt? Yes;Snapchat;21
All snapchat debt;Total Snapchat;68
student loan debt? No;Twitter;99
student loan debt? Yes;Twitter;60
All twitter debt;Total Twitter;159
